class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
50,997,Catocala grynea,Woody Underwing,Erebidae,Catocala,1.0,0.9,0.9473684210526315,10,0.9
51,998,Catocala ilia,Ilia Underwing,Erebidae,Catocala,1.0,1.0,1.0,10,1.0
52,1047,Hypena bijugalis,Dimorphic Bomolocha Moth,Erebidae,Hypena,1.0,0.9,0.9473684210526315,10,0.9
53,1076,Melipotis acontioides,Royal Poinciana Moth,Erebidae,Melipotis,0.9090909090909091,1.0,0.9523809523809523,10,1.0
54,1103,Pantydia sparsa,Pantydia sparsa,Erebidae,Pantydia,0.75,0.9,0.8181818181818182,10,0.9
55,1164,Chiasmia clathrata,Latticed Heath,Geometridae,Chiasmia,1.0,1.0,1.0,10,1.0
56,1167,Chlorochlamys chloroleucaria,Blackberry Looper,Geometridae,Chlorochlamys,1.0,0.9,0.9473684210526315,10,0.9
57,1176,Colotois pennaria,Feathered Thorn,Geometridae,Colotois,1.0,1.0,1.0,10,1.0
58,1233,Idaea aversata,Riband Wave,Geometridae,Idaea,0.9090909090909091,1.0,0.9523809523809523,10,1.0
59,1242,Ilexia intractata,Black-dotted Ruddy Moth,Geometridae,Ilexia,0.9090909090909091,1.0,0.9523809523809523,10,1.0
60,1297,Probole amicaria,Alien Probole Moth,Geometridae,Probole,0.9090909090909091,1.0,0.9523809523809523,10,1.0
61,1314,Tetracis cachexiata,White Slant-line,Geometridae,Tetracis,1.0,1.0,1.0,10,1.0
62,1315,Tetracis crocallata,Yellow Slant-line,Geometridae,Tetracis,1.0,1.0,1.0,10,1.0
63,1335,Ancyloxypha numitor,Least Skipper,Hesperiidae,Ancyloxypha,0.8181818181818182,0.9,0.8571428571428571,10,0.9
64,1346,Burnsius philetas,Desert Checkered-Skipper,Hesperiidae,Burnsius,1.0,1.0,1.0,10,1.0
65,1362,Erynnis juvenalis,Juvenal's Duskywing,Hesperiidae,Erynnis,1.0,0.8,0.8888888888888888,10,0.8
66,1374,Iambrix salsala,Chestnut Bob,Hesperiidae,Iambrix,1.0,1.0,1.0,10,1.0
67,1376,Lerodea eufala,Eufala Skipper,Hesperiidae,Lerodea,1.0,0.7,0.8235294117647058,10,0.7
68,1378,Lon melane,Umber Skipper,Hesperiidae,Lon,0.5,0.5,0.5,10,0.5
69,1393,Polites mystic,Long Dash Skipper,Hesperiidae,Polites,0.7692307692307693,1.0,0.8695652173913043,10,1.0
70,1405,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,1.0,0.7,0.8235294117647058,10,0.7
71,1408,Urbanus dorantes,Dorantes Longtail,Hesperiidae,Urbanus,0.7777777777777778,0.7,0.7368421052631579,10,0.7
72,1430,Euclea incisa,Green Oak-Slug Moth,Limacodidae,Euclea,0.9090909090909091,1.0,0.9523809523809523,10,1.0
73,1439,Anthene emolus,Common Ciliate Blue,Lycaenidae,Anthene,1.0,1.0,1.0,10,1.0
74,1455,Catochrysops strabo,Forget-me-not,Lycaenidae,Catochrysops,0.8333333333333334,1.0,0.9090909090909091,10,1.0
75,1458,Celastrina ladon,Spring Azure,Lycaenidae,Celastrina,0.8888888888888888,0.8,0.8421052631578947,10,0.8
76,1469,Cyaniris semiargus,Mazarine Blue,Lycaenidae,Cyaniris,0.7142857142857143,1.0,0.8333333333333334,10,1.0
77,1485,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,0.8571428571428571,0.6,0.7058823529411765,10,0.6
78,1493,Leptotes marina,Marine Blue,Lycaenidae,Leptotes,1.0,0.9,0.9473684210526315,10,0.9
79,1534,Satyrium titus,Coral Hairstreak,Lycaenidae,Satyrium,0.875,0.7,0.7777777777777778,10,0.7
80,1583,Autographa californica,Alfalfa Looper,Noctuidae,Autographa,0.9,0.9,0.9,10,0.9
81,1649,Lithacodia musta,Small Mossy Lithacodia,Noctuidae,Lithacodia,1.0,1.0,1.0,10,1.0
82,1653,Maliattha synochitis,Black-dotted Maliattha,Noctuidae,Maliattha,0.8888888888888888,0.8,0.8421052631578947,10,0.8
83,1691,Ponometia semiflava,Half-yellow Moth,Noctuidae,Ponometia,1.0,1.0,1.0,10,1.0
84,1729,Pseudoips prasinana,Green Silver-lines,Nolidae,Pseudoips,0.9090909090909091,1.0,0.9523809523809523,10,1.0
85,1748,Peridea angulosa,Angulose Prominent Moth,Notodontidae,Peridea,0.9,0.9,0.9,10,0.9
86,1802,Brenthis ino,Lesser Marbled Fritillary,Nymphalidae,Brenthis,1.0,1.0,1.0,10,1.0
87,1838,Doxocopa laure,Silver Emperor,Nymphalidae,Doxocopa,0.9,0.9,0.9,10,0.9
88,1840,Dryas iulia,Julia Butterfly,Nymphalidae,Dryas,1.0,1.0,1.0,10,1.0
89,1854,Euphydryas phaeton,Baltimore Checkerspot,Nymphalidae,Euphydryas,0.8,0.8,0.8,10,0.8
90,1908,Limenitis arthemis,Red-spotted Admiral,Nymphalidae,Limenitis,1.0,0.9,0.9473684210526315,10,0.9
91,1938,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,0.75,0.6,0.6666666666666666,10,0.6
92,1968,Smyrna blomfildia,Blomfild's Beauty,Nymphalidae,Smyrna,0.9090909090909091,1.0,0.9523809523809523,10,1.0
93,2009,Papilio anactus,Dainty Swallowtail,Papilionidae,Papilio,1.0,0.7,0.8235294117647058,10,0.7
94,2034,Papilio thoas,Thoas Swallowtail,Papilionidae,Papilio,1.0,0.9,0.9473684210526315,10,0.9
95,2073,Eurema daira,Barred Yellow,Pieridae,Eurema,1.0,0.9,0.9473684210526315,10,0.9
96,2077,Glutophrissa drusilla,Florida White,Pieridae,Glutophrissa,0.9,0.9,0.9,10,0.9
97,2092,Pieris brassicae,Large White Butterfly,Pieridae,Pieris,0.9090909090909091,1.0,0.9523809523809523,10,1.0
98,2129,Moodna ostrinella,Darker Moodna Moth,Pyralidae,Moodna,1.0,0.9,0.9473684210526315,10,0.9
99,2139,Calephelis nemesis,Fatal Metalmark,Riodinidae,Calephelis,0.9090909090909091,1.0,0.9523809523809523,10,1.0
100,2145,Melanis pixe,Red-bordered Pixie,Riodinidae,Melanis,1.0,1.0,1.0,10,1.0
101,2149,Anisota senatoria,Orange-tipped Oakworm Moth,Saturniidae,Anisota,0.9090909090909091,1.0,0.9523809523809523,10,1.0
102,2161,Hemileuca maia,Buck Moth,Saturniidae,Hemileuca,0.7692307692307693,1.0,0.8695652173913043,10,1.0
103,2166,Saturnia pavonia,Small Emperor Moth,Saturniidae,Saturnia,1.0,1.0,1.0,10,1.0
104,2167,Saturnia pyri,Giant Peacock Moth,Saturniidae,Saturnia,1.0,1.0,1.0,10,1.0
105,2185,Dolba hyloeus,Pawpaw Sphinx Moth,Sphingidae,Dolba,1.0,0.9,0.9473684210526315,10,0.9
106,2198,Hippotion scrofa,Hippotion scrofa,Sphingidae,Hippotion,1.0,0.8,0.8888888888888888,10,0.8
107,2211,Paonias excaecata,Blinded Sphinx Moth,Sphingidae,Paonias,0.9,0.9,0.9,10,0.9
108,2222,Sphinx pinastri,Pine Hawk-Moth,Sphingidae,Sphinx,0.9090909090909091,1.0,0.9523809523809523,10,1.0
109,2235,Argyrotaenia velutinana,Red-banded Leafroller,Tortricidae,Argyrotaenia,0.8333333333333334,1.0,0.9090909090909091,10,1.0
110,2246,Cydia latiferreana,Filbertworm Moth,Tortricidae,Cydia,0.9090909090909091,1.0,0.9523809523809523,10,1.0
111,2249,Epiblema otiosana,Bidens Borer Moth,Tortricidae,Epiblema,1.0,1.0,1.0,10,1.0
112,2262,Platynota rostrana,Omnivorous Platynota Moth,Tortricidae,Platynota,1.0,1.0,1.0,10,1.0
