run_id,variant,display_name,variant_order,seed,run_dir,split_id,num_classes,num_test_samples,top1_accuracy,top5_accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,training_time_seconds,inference_time_seconds
color/seed_9517,color,HSV colour histogram,0,9517,outputs/runs/inat500_seed9517/ablation_inputs/handcrafted_features/color,inat500_seed9517,500,5000,0.0188,0.0724,0.0144567572313366,0.0233303823187419,0.0188,0.0188,3.886897200000021,0.0248494000006758
lbp/seed_9517,lbp,Uniform LBP,1,9517,outputs/runs/inat500_seed9517/ablation_inputs/handcrafted_features/lbp,inat500_seed9517,500,5000,0.0046,0.0178,0.0025586813429026,0.00492142419037,0.0046,0.0046,1.5329041000004509,0.0188486999995802
hog/seed_9517,hog,HOG,2,9517,outputs/runs/inat500_seed9517/ablation_inputs/handcrafted_features/hog,inat500_seed9517,500,5000,0.0298,0.0834,0.0234530089708346,0.0255606355910031,0.0298,0.0298,75.18292709999969,0.0460348999995403
sift_bovw/seed_9517,sift_bovw,SIFT-BoVW,3,9517,outputs/runs/inat500_seed9517/ablation_inputs/handcrafted_features/sift_bovw,inat500_seed9517,500,5000,0.0122,0.0482,0.0065660822272484,0.009298492895293,0.0121999999999999,0.0121999999999999,4.165196800000558,0.0270351999997728
