run_key,kind,num_classes,train_per_class,val_per_class,test_per_class,total_train_images,total_val_images,total_test_images,best_epoch,completed_epochs,top1_accuracy,top5_accuracy,macro_f1,training_time_seconds,inference_time_seconds,peak_gpu_memory_mb
classes_500,main,500,40,10,10,20000,5000,5000,45,50,0.6454,0.8352000002861023,0.6369020905428309,3555.286316000005,19.674987200000032,9703.7216796875
classes_1000,main,1000,20,5,5,20000,5000,5000,44,50,0.5031999973297119,0.7286000047683716,0.4898294555118084,3288.6211748000023,16.348128099998576,9704.4482421875
classes_2500,main,2500,8,2,2,20000,5000,5000,33,41,0.2694000014305114,0.4858000009536743,0.2414537373737373,2703.498776399996,16.498777100001462,9718.7568359375
control_500x20,sample_control,500,20,5,10,10000,2500,5000,41,49,0.5583999992370605,0.7712000000953674,0.5486253287204939,1675.203075400001,22.98029680000036,9702.9091796875
control_500x8,sample_control,500,8,2,10,4000,1000,5000,20,28,0.3889999989986419,0.6266000038146973,0.37878344541819,460.8591949000038,25.79827180000575,9480.36865234375
