epoch,train_loss,train_top1_accuracy,train_seconds,train_images_per_second,val_loss,val_top1_accuracy,val_top5_accuracy,val_macro_f1,val_seconds,val_images_per_second,head_lr,peak_gpu_memory_mb
1,7.891223165130615,0.00195,86.47121790000165,231.29083278471575,7.420590590667724,0.008999999998509884,0.03299999999254942,0.0026460079373251013,25.089766000000964,199.28444131363392,0.0003,9718.7568359375
2,7.121448330688477,0.03025,65.0804148999996,307.312115799067,6.757655099487304,0.04779999998807907,0.13039999953508377,0.026628901982060808,13.757965299999341,363.4258330336274,0.0002997069691715983,6351.361328125
3,6.423510681152344,0.096,65.60949579999942,304.83392314074416,6.238415087890625,0.08259999971985817,0.2061999999165535,0.050785650921692245,14.016225999999733,356.72940775927094,0.00029882903314519993,6351.361328125
4,5.845683926391602,0.1728,64.89579099999901,308.1863968650957,5.883605694580078,0.11799999970793724,0.26979999878406524,0.08184768914848474,13.697142099998018,365.0396530529331,0.0002973696567332102,6351.361328125
5,5.366093284606934,0.2495,65.44667079999999,305.59232051876967,5.630580185699463,0.13819999943971634,0.3049999993562698,0.10051146399180455,13.704064199999266,364.8552668047387,0.00029533459942760165,6351.361328125
6,4.950896833801269,0.32015,65.60894940000071,304.8364618379301,5.428390765380859,0.15839999959468842,0.33899999966621397,0.1215200918221785,13.881782500000554,360.1842918947765,0.00029273189266983027,6351.361328125
7,4.5848253639221195,0.38995,65.28305370000089,306.3582180439535,5.248224782562255,0.18159999940395355,0.3831999990463257,0.14194158145603966,13.633169200002158,366.7525816373796,0.0002895718081544053,6351.361328125
8,4.263772388458252,0.45345,65.16399069999898,306.9179739478465,5.113421236419677,0.202000000333786,0.40220000104904174,0.16713158594176497,13.653047899999365,366.21859357867135,0.0002858668172912039,6351.361328125
9,3.9706155250549315,0.51,65.53521080000064,305.1794562931322,5.035955480194092,0.20800000014305114,0.4135999990940094,0.17245682046539632,14.019699299999047,356.64103009686806,0.00028163154198651373,6351.361328125
10,3.7065146575927734,0.5714,65.4069935999978,305.7776989768365,4.956153189849854,0.21519999930858613,0.4269999972343445,0.17909539341291664,13.793437299998914,362.4912261717675,0.00027688269693704925,6351.361328125
11,3.4702876987457274,0.6193,65.42432069999995,305.6967162365969,4.859556853485107,0.2327999993801117,0.44400000185966493,0.20152149320226045,13.853117299997393,360.9295938034785,0.0002716390236646797,6351.361328125
12,3.2589339332580565,0.66605,65.50568890000068,305.3169936206837,4.782373217773437,0.24559999945163727,0.4621999989032745,0.21052459762459763,13.885353500001656,360.0916606119825,0.00026592121655220473,6351.361328125
13,3.058794689178467,0.70915,65.54667269999845,305.1260907100243,4.8077190940856935,0.23920000114440917,0.45639999957084654,0.20607439593086657,13.810006799998519,362.0563025356755,0.00025975184117207965,6351.361328125
14,2.8804354782104493,0.7435,65.26105210000242,306.461501254272,4.699319438171386,0.24459999978542327,0.4689999973773956,0.2124309224109224,13.812142400001903,362.000322267117,0.00025315524523041033,6351.361328125
15,2.720859593963623,0.78225,65.49798809999993,305.3528906790959,4.720755620574951,0.24799999952316285,0.4703999976158142,0.21747045756445135,13.862693500002933,360.6802675107072,0.00024615746247768044,6351.361328125
16,2.574917183303833,0.81065,65.69393639999907,304.44210068678854,4.672238083648682,0.2525999991893768,0.4771999976158142,0.22215290043290042,13.974183099999209,357.8026682647577,0.00023878610996543232,6351.361328125
17,2.4370314247131346,0.8387,65.31174660000033,306.22362807856524,4.665304438781738,0.2559999996900558,0.4787999997138977,0.22328198024198018,13.670489399999497,365.7513534226642,0.00023107027905438102,6351.361328125
18,2.314328243637085,0.8665,65.08148570000048,307.307059525223,4.6071340934753415,0.26160000085830687,0.49039999895095826,0.23263220779220778,13.826178499999514,361.6328257298411,0.00022304042060410475,6351.361328125
19,2.208516148376465,0.88095,65.33721190000142,306.104276849309,4.650704348754883,0.2597999994277954,0.4822000018119812,0.23155752313046432,13.849819700000808,361.0155300433051,0.00021472822479741332,6351.361328125
20,2.113147442626953,0.9002,65.48571199999787,305.4101328240983,4.621381297302246,0.26480000052452085,0.4856000014781952,0.23603858585858584,13.708796099999745,364.7293287847569,0.0002061664960736747,6351.361328125
21,2.0296227363586428,0.91565,65.34542249999868,306.0658150921039,4.64220170135498,0.26179999859333036,0.4852000003814697,0.23449806415806415,14.071995499998593,355.3156338062004,0.0001973890236646797,6351.361328125
22,1.9477446006774903,0.9309,65.57687129999977,304.9855780478516,4.637555691528321,0.26060000052452087,0.49199999709129333,0.231381645021645,13.612208700000338,367.3173186067795,0.00018843044824398092,6351.361328125
23,1.8857583526611328,0.93835,65.18715669999801,306.80890243523396,4.629060354614258,0.26679999866485593,0.4859999978542328,0.23992729048729047,13.815836300000228,361.9035352930403,0.00017932612521598013,6351.361328125
24,1.8323804298400879,0.94485,65.30375469999854,306.2611038504414,4.637753805541992,0.2613999990940094,0.48679999895095827,0.23437144633144635,13.748782499995286,363.6685648348655,0.0001701119851842992,6351.361328125
25,1.7672350433349608,0.95475,65.4335357999953,305.65366452352765,4.624824030303955,0.2650000005245209,0.4905999978542328,0.23615656565656565,13.556496800003515,368.82684913101616,0.00016082439215010306,6351.361328125
26,1.7273792110443116,0.95945,65.26945090000663,306.42206613075655,4.666743531036377,0.26459999883174895,0.4914000014781952,0.23672838716838718,13.935273600000073,358.801710215433,0.0001515,6351.361328125
27,1.6840495866775513,0.96675,65.53632500000094,305.1742678583169,4.64537681350708,0.2699999997615814,0.48699999861717225,0.24004300144300142,13.771510799997486,363.06837155447846,0.00014217560784989696,6351.361328125
28,1.6497017826080322,0.96925,65.45191109999723,305.56785377044315,4.625380919647217,0.27259999976158145,0.49700000104904174,0.2439626062826063,13.68095689999609,365.4715117187036,0.00013288801481570084,6351.361328125
29,1.616358592414856,0.97305,65.4862401000064,305.40766990832395,4.649675257110595,0.27499999883174897,0.48900000147819517,0.2463877056277056,13.98600019999867,357.5003523881313,0.00012367387478401991,6351.361328125
30,1.5941112159729003,0.9736,65.47380889999476,305.4656562068684,4.644279959106445,0.270399998831749,0.4946000013828278,0.2399129237429237,13.72111710000172,364.4018168170413,0.00011456955175601908,6351.361328125
31,1.5614837524414062,0.97735,65.65233060000173,304.63503454056314,4.6630561111450195,0.2734000000953674,0.49280000205039975,0.2450055988455988,13.978192200003832,357.70004650520036,0.00010561097633532038,6351.361328125
32,1.5363574115753174,0.9809,65.17499620000308,306.8661475426224,4.648567771911621,0.27600000042915346,0.49380000028610227,0.24690138528138522,13.777574300002016,362.90858543940266,9.683350392632539e-05,6351.361328125
33,1.5282901475906372,0.9789,65.62949739999749,304.74102030835854,4.649494792175293,0.2748000011920929,0.49580000104904176,0.24781466089466084,14.109149100004288,354.3799817097744,8.827177520258673e-05,6351.361328125
34,1.5117917360305786,0.9814,65.52392379999947,305.23202580246215,4.666086540985107,0.27079999866485593,0.49579999775886535,0.2448880230880231,13.784420000003593,362.7283556361963,7.995957939589527e-05,6351.361328125
35,1.4903146244049073,0.98365,65.36647739999898,305.9672296185309,4.667732521057129,0.27600000076293946,0.4930000021457672,0.24801691197691197,13.791130600002361,362.5518563357774,7.192972094561898e-05,6351.361328125
36,1.4803510587692261,0.9846,65.5401681000003,305.1563732562338,4.685065166473389,0.2728000011920929,0.4937999985218048,0.2457266955266955,13.577921700001752,368.2448691687001,6.421389003456776e-05,6351.361328125
