variant,display_name,variant_order,top1_accuracy_mean,top1_accuracy_std,top5_accuracy_mean,top5_accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,balanced_accuracy_mean,balanced_accuracy_std,training_time_seconds_mean,training_time_seconds_std,inference_time_seconds_mean,inference_time_seconds_std,n_runs
sgd_svm,SGD linear SVM,0,0.0188,0.0,0.0724,0.0,0.014456757231,0.0,0.023330382319,0.0,0.0188,0.0,0.0188,0.0,3.8868972,0.0,0.024849400001,0.0,1
linear_svc,LinearSVC,1,0.0306,0.0,0.1012,0.0,0.018385474695,0.0,0.021877042716,0.0,0.0306,0.0,0.0306,0.0,329.6594492,0.0,0.0551553,0.0,1
