class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
19,457,Exaireta spinigera,Garden soldier fly,Stratiomyidae,Exaireta,0.45454545454545453,0.5,0.47619047619047616,10,0.5
20,461,Copestylum mexicanum,Mexican Cactus Fly,Syrphidae,Copestylum,1.0,0.1,0.18181818181818182,10,0.1
21,470,Eristalis stipator,Yellow-shouldered Drone Fly,Syrphidae,Eristalis,0.5,0.3,0.375,10,0.3
22,472,Eristalis transversa,Transverse-banded Flower Fly,Syrphidae,Eristalis,0.4,0.2,0.26666666666666666,10,0.2
23,493,Toxomerus politus,Maize Calligrapher Fly,Syrphidae,Toxomerus,0.5384615384615384,0.7,0.6086956521739131,10,0.7
24,513,Adelges tsugae,Hemlock Woolly Adelgid,Adelgidae,Adelges,0.10344827586206896,0.9,0.18556701030927836,10,0.9
25,558,Acanthocephala femorata,Florida Leaf-footed Bug,Coreidae,Acanthocephala,0.5555555555555556,0.5,0.5263157894736842,10,0.5
26,567,Leptoglossus clypealis,Western Leaf-footed Bug,Coreidae,Leptoglossus,0.5,0.1,0.16666666666666666,10,0.1
27,568,Leptoglossus occidentalis,Western Conifer Seed Bug,Coreidae,Leptoglossus,0.2857142857142857,0.4,0.3333333333333333,10,0.4
28,597,Adelphocoris lineolatus,Alfalfa Plant Bug,Miridae,Adelphocoris,0.5,0.5,0.5,10,0.5
29,624,Graphosoma italicum,European Striped Shield Bug,Pentatomidae,Graphosoma,0.7142857142857143,1.0,0.8333333333333334,10,1.0
30,626,Halyomorpha halys,Brown Marmorated Stink Bug,Pentatomidae,Halyomorpha,0.5,0.2,0.2857142857142857,10,0.2
31,630,Nezara viridula,Southern Green Stink Bug,Pentatomidae,Nezara,0.375,0.3,0.3333333333333333,10,0.3
32,651,Phymata americana,Jagged Ambush Bug,Reduviidae,Phymata,0.6666666666666666,0.4,0.5,10,0.4
33,671,Andrena cineraria,Ashy Mining Bee,Andrenidae,Andrena,0.2631578947368421,0.5,0.3448275862068966,10,0.5
34,711,Xylocopa micans,Southern Carpenter Bee,Apidae,Xylocopa,0.25,0.1,0.14285714285714285,10,0.1
35,718,Cimbex americanus,Elm Sawfly,Cimbicidae,Cimbex,0.0,0.0,0.0,10,0.0
36,727,Amphibolips confluenta,Spongy Oak Apple Gall Wasp,Cynipidae,Amphibolips,1.0,0.3,0.46153846153846156,10,0.3
37,743,Camponotus floridanus,Florida Carpenter Ant,Formicidae,Camponotus,0.3,0.3,0.3,10,0.3
38,747,Camponotus novaeboracensis,New York Carpenter Ant,Formicidae,Camponotus,0.4444444444444444,0.4,0.42105263157894735,10,0.4
39,774,Augochlora pura,Pure Green Sweat Bee,Halictidae,Augochlora,0.5,0.3,0.375,10,0.3
40,775,Augochloropsis metallica,Metallic Epauletted-Sweat Bee,Halictidae,Augochloropsis,0.3076923076923077,0.4,0.34782608695652173,10,0.4
41,799,Ammophila procera,Common Thread-waisted Wasp,Sphecidae,Ammophila,0.375,0.3,0.3333333333333333,10,0.3
42,819,Mischocyttarus flavitarsis,Western Paper Wasp,Vespidae,Mischocyttarus,0.6666666666666666,0.2,0.3076923076923077,10,0.2
43,858,Achyra rantalis,Garden Webworm Moth,Crambidae,Achyra,0.4,0.2,0.26666666666666666,10,0.2
44,859,Agriphila straminella,Pearl Veneer,Crambidae,Agriphila,0.36363636363636365,0.4,0.38095238095238093,10,0.4
45,921,Parapoynx diminutalis,Hydrilla Leafcutter Moth,Crambidae,Parapoynx,0.6923076923076923,0.9,0.782608695652174,10,0.9
46,924,Perispasta caeculalis,Titian Peale's Crambid,Crambidae,Perispasta,0.8181818181818182,0.9,0.8571428571428571,10,0.9
47,937,Pyrausta volupialis,Volupial Pyrausta Moth,Crambidae,Pyrausta,1.0,0.6,0.75,10,0.6
48,949,Urola nivalis,Snowy Urola Moth,Crambidae,Urola,0.42857142857142855,0.6,0.5,10,0.6
49,987,Bulia deducta,Deduced Graphic,Erebidae,Bulia,0.4666666666666667,0.7,0.56,10,0.7
50,997,Catocala grynea,Woody Underwing,Erebidae,Catocala,0.75,0.3,0.42857142857142855,10,0.3
51,998,Catocala ilia,Ilia Underwing,Erebidae,Catocala,0.5,0.2,0.2857142857142857,10,0.2
52,1047,Hypena bijugalis,Dimorphic Bomolocha Moth,Erebidae,Hypena,1.0,0.2,0.3333333333333333,10,0.2
