variant,display_name,variant_order,delta_top1_accuracy,delta_top5_accuracy,delta_macro_f1
tta_off,TTA off,0,0.0,0.0,0.0
tta_on,Horizontal-flip TTA,1,0.0148,0.008,0.015335491799
