variant,display_name,variant_order,top1_accuracy_mean,top1_accuracy_std,top5_accuracy_mean,top5_accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,balanced_accuracy_mean,balanced_accuracy_std,training_time_seconds_mean,training_time_seconds_std,inference_time_seconds_mean,inference_time_seconds_std,n_runs
scratch,Scratch,0,0.265999998713,0.0,0.509999994659,0.0,0.246732890774,0.0,0.251327116675,0.0,0.266,0.0,0.266,0.0,3289.004050199992,0.0,12.5716386,0.0,1
pretrained,ImageNet pretrained,1,0.6454,0.0,0.835200000286,0.0,0.636902090543,0.0,0.649813142576,0.0,0.6454,0.0,0.6454,0.0,3555.286316000005,0.0,19.6749872,0.0,1
