run_id,variant,display_name,variant_order,seed,run_dir,split_id,num_classes,num_test_samples,top1_accuracy,top5_accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,training_time_seconds,inference_time_seconds
scratch/seed_9517,scratch,Scratch,0,9517,scratch/seed_9517,inat500_seed9517,500,5000,0.266,0.51,0.2467328907736684,0.2513271166752214,0.266,0.266,3289.004050199992,14.990949200000614
pretrained/seed_9517,pretrained,ImageNet pretrained,1,9517,pretrained/seed_9517,inat500_seed9517,500,5000,0.6456,0.8352,0.6371178838723083,0.6500633951016304,0.6456,0.6456,3555.286316000005,14.41484820000187
