variant,display_name,variant_order,delta_top1_accuracy,delta_top5_accuracy,delta_macro_f1
scratch,Scratch,0,0.0,0.0,0.0
pretrained,ImageNet pretrained,1,0.379400001287,0.325200005627,0.390169199769
