epoch,train_loss,train_top1_accuracy,train_seconds,train_images_per_second,val_loss,val_top1_accuracy,val_top5_accuracy,val_macro_f1,val_seconds,val_images_per_second,head_lr,peak_gpu_memory_mb
1,5.435476594543457,0.11675,86.00624590000007,232.54125082094745,4.350278330993652,0.2637999985218048,0.517600002336502,0.214887612363826,22.731409500000154,219.95996332739358,0.0003,9703.7216796875
2,3.886915358734131,0.39985,65.14730070000041,306.996602853875,3.597594352722168,0.42959999799728393,0.693,0.39657696951003324,13.499227399999654,370.3915677426197,0.0002997069691715983,6332.458984375
3,3.0497312557220457,0.57065,65.21289530000104,306.6878093357662,3.118668558883667,0.5120000012874604,0.7588000017166138,0.49340684958446834,13.79956250000032,362.3303275013164,0.00029882903314519993,6332.458984375
4,2.538427271270752,0.6727,65.54422800000066,305.1374714490466,2.9005079704284666,0.544599999332428,0.7802000015258789,0.5366498399280618,13.44978330000049,371.7532014065846,0.0002973696567332102,6332.458984375
5,2.1932457107543946,0.7518,65.54751559999931,305.12216697958587,2.7250651580810548,0.5852000003814697,0.8159999940872192,0.5792437362615737,13.911054399999557,359.42638539319915,0.00029533459942760165,6332.458984375
6,1.948064409637451,0.80855,65.34982130000026,306.045213317208,2.6494001792907715,0.5834000004768372,0.8125999962806701,0.5788222527558655,13.832947999999305,361.45585163771676,0.00029273189266983027,6332.458984375
7,1.7446742040634156,0.8613,65.48030610000023,305.43534676603974,2.67104147567749,0.5886000046730041,0.8136000026702881,0.5845779782919438,13.858594799999992,360.7869392357155,0.0002895718081544053,6332.458984375
8,1.5874460960388184,0.9011,65.7406718000002,304.22567114685216,2.5896481746673583,0.6043999981880188,0.8204000025749206,0.6006866558216574,13.8705202000001,360.47674693555933,0.0002858668172912039,6332.458984375
9,1.459134473800659,0.933,65.43335999999908,305.6544857241059,2.5897821022033694,0.5970000039100647,0.8194000025749206,0.5926327791085721,13.869955799998934,360.4914155530607,0.00028163154198651373,6332.458984375
10,1.3624712379455566,0.956,65.17413119999947,306.870220312199,2.5785049240112303,0.6043999996185303,0.8221999975204468,0.5999211542703637,13.918945400000666,359.22261754110775,0.00027688269693704925,6332.458984375
11,1.2858162551879884,0.9732,65.72736309999891,304.2872717953344,2.588302212524414,0.6059999966621399,0.8246000025749206,0.6022077393735012,13.761199900000065,363.3404090002338,0.0002716390236646797,6332.458984375
12,1.2420038473129273,0.98055,65.54634400000032,305.12762084792865,2.5512458896636963,0.6022000002861023,0.8233999997138977,0.5972678085983432,13.539095899999666,369.3008777639372,0.00026592121655220473,6332.458984375
13,1.195335399246216,0.9891,65.58103760000085,304.96620260853786,2.5719192070007324,0.6040000017166137,0.8146000032424927,0.5960352808808059,13.672005200000058,365.71080297716526,0.00025975184117207965,6332.458984375
14,1.1702178173065185,0.99135,65.26579429999947,306.4392338208341,2.5676818008422853,0.6027999959945679,0.8215999981880188,0.6019558534408953,13.697310199999265,365.03517311013866,0.00025315524523041033,6332.458984375
15,1.146166297531128,0.99625,65.72044859999914,304.3192860981211,2.555216571807861,0.6132000030517578,0.8302000046730041,0.6103216470780395,13.863012899999376,360.67195753675054,0.00024615746247768044,6332.458984375
16,1.1287367542266846,0.99635,65.49588629999926,305.3626896259014,2.5611042976379395,0.621199995803833,0.8235999945640564,0.6163157638956925,13.772035800000594,363.0545311245694,0.00023878610996543232,6332.458984375
17,1.1097022241592407,0.9976,65.53087249999953,305.19965990076116,2.5472933197021486,0.6212000001907348,0.8304000040054321,0.6187213458249606,14.000424699999712,357.13202328784377,0.00023107027905438102,6332.458984375
18,1.0975326503753662,0.9986,65.45997999999963,305.5301880629984,2.5640177513122557,0.6266000038146973,0.8285999960899353,0.6228785092093719,14.115356399999655,354.2241413047227,0.00022304042060410475,6332.458984375
19,1.0858638851165772,0.99885,65.49967819999983,305.34501160343183,2.559591163253784,0.6228000044822692,0.8337999945640564,0.6205899764816512,13.766812999998365,363.1922653413389,0.00021472822479741332,6332.458984375
20,1.0763408428192138,0.99955,65.68884290000096,304.46570706758035,2.534000470352173,0.6321999985694885,0.8334000032424926,0.6287149839773798,13.82879160000084,361.5644912892964,0.0002061664960736747,6332.458984375
21,1.067349070930481,0.9996,65.39692660000037,305.8247694471912,2.540340840911865,0.642399997138977,0.8292000003814697,0.6374787284691381,13.943601999999373,358.58740087390794,0.0001973890236646797,6332.458984375
22,1.0618357769012452,0.99955,65.42911710000044,305.6743065848258,2.5541668979644774,0.6439999957084656,0.8350000045776367,0.6412943059101228,13.814685800000007,361.9336749591509,0.00018843044824398092,6332.458984375
23,1.0563430728912353,0.9996,65.67117279999911,304.5476294585114,2.564275248718262,0.6417999957084656,0.8357999988555909,0.6364859889508789,13.794479900001534,362.46382873771444,0.00017932612521598013,6332.458984375
24,1.0511256004333496,0.9997,65.32376760000079,306.16727624264826,2.553877666473389,0.648400000667572,0.8350000046730042,0.6457256335454976,13.673694699999032,365.665616331214,0.0001701119851842992,6332.458984375
25,1.0457407485961914,0.9999,65.40654390000054,305.7798013388051,2.5632999782562256,0.643599999332428,0.8338000031471252,0.6387201020232385,13.95584720000079,358.2727675608054,0.00016082439215010306,6332.458984375
26,1.0420784133911132,0.99985,65.3299490999998,306.13830678769136,2.5376956520080567,0.6500000014305115,0.8412000045776368,0.6458338336544702,13.910656199999721,359.436674166392,0.0001515,6332.458984375
27,1.037840068435669,0.9999,65.35219130000041,306.0341145745158,2.5603197093963623,0.6517999992370606,0.8384000039100648,0.6477531825269025,13.723501300000862,364.3385088614147,0.00014217560784989696,6332.458984375
28,1.0347391553878784,0.9999,65.55669520000083,305.0794421375858,2.540385416793823,0.6500000014305115,0.8372000039100647,0.6465994023833942,13.715426700000535,364.55300366264254,0.00013288801481570084,6332.458984375
