epoch,head_lr,backbone_lr,train_loss,train_top1_accuracy,train_seconds,val_loss,val_top1_accuracy,val_top5_accuracy,val_macro_f1,val_seconds
1,0.0005,5e-05,4.461089916992187,0.27921197955348764,80.57498679999844,2.5053482612609863,0.638,0.8526,0.6186102194262899,26.48538280001958
2,0.0004915666420065443,4.9233331091504034e-05,2.917053081512451,0.5799768551704468,48.68383580000955,2.0031517463684083,0.7404,0.9142,0.7341136862083407,22.03527039999608
3,0.00046684128743664855,4.6985571585149876e-05,2.4926611587524414,0.6807289084998871,48.49076959997183,1.8327603527069092,0.7812,0.9318,0.7770008514154435,22.21933709998848
4,0.00042750892834367044,4.340990257669732e-05,2.3277898082733155,0.729270085087292,48.81453210001928,1.7705601999282836,0.7946,0.9378,0.7911923915806901,21.873771699989447
5,0.00037624999999999996,3.875e-05,2.1713440647125246,0.7693576748613881,48.85989590000827,1.7175093021392822,0.8116,0.9436,0.809511868565071,21.49367299998994
6,0.0003165577136628739,3.332342851480672e-05,2.081155614280701,0.798947600574418,48.803997299983166,1.6995786724090576,0.8184,0.9474,0.8158328608144223,21.487540200003423
7,0.0002525,2.75e-05,2.0410636976242067,0.810270980343435,48.5945103999984,1.6808748365402222,0.8232,0.949,0.8209704848772713,22.11205450000125
8,0.00018844228633712617,2.1676571485193285e-05,1.9655237731933595,0.8298791867890394,48.44977619999554,1.6597461418151855,0.8336,0.9502,0.831946131783593,22.09218450001208
9,0.00012875000000000007,1.6250000000000005e-05,1.9341611904144287,0.8397385310457446,49.28720009999233,1.6635187673568725,0.828,0.9482,0.8267354831605929,21.99297469999874
10,7.74910716563295e-05,1.1590097423302684e-05,2.0445954385757448,0.8172694499827753,48.90009349997854,1.6526598949432374,0.8326,0.9504,0.8309729723529377,21.152531100000488
11,3.815871256335142e-05,8.01442841485013e-06,1.8400607095718384,0.8611616199941372,48.508678799989866,1.649467227935791,0.8348,0.9498,0.8330127328964938,21.488566600019112
12,1.3433357993455621e-05,5.766668908495966e-06,1.8221114471435547,0.8660596384306033,48.537440200016135,1.6518128931045533,0.8352,0.9496,0.8333132611742963,22.42284360001213
