epoch,head_lr,backbone_lr,train_loss,train_top1_accuracy,train_seconds,val_loss,val_top1_accuracy,val_top5_accuracy,val_macro_f1,val_seconds,train_images_per_second,val_images_per_second,peak_gpu_memory_mb
1,0.002,,6.048493327331543,0.0084,54.22809120000056,5.8808991165161135,0.011599999994039536,0.0523999996304512,0.003738076733978585,29.007074000001012,368.8125389890137,172.37174628505534,4326.02099609375
2,0.0019980464611439887,,5.7514453125,0.0183,25.146610199999486,5.69491349029541,0.02120000006556511,0.09259999966621399,0.008462928054916056,2.41860749999978,795.3358262180566,2067.3052572608226,3336.91943359375
3,0.001992193554301333,,5.596020496368408,0.02785,25.19481520000045,5.627423550415039,0.030600000309944152,0.1112000009059906,0.014781949246022118,2.3693481999998767,793.8141177554517,2110.2850142500206,3336.91943359375
4,0.0019824643782214014,,5.474063454437256,0.0361,25.458278699999937,5.544712683105469,0.037399999976158144,0.12500000051259993,0.01945740627495937,2.6926466999993863,785.5990672299479,1856.9090404623598,3336.91943359375
5,0.0019688973295173442,,5.3753901374816895,0.0462,25.096804099999645,5.4653557014465335,0.04220000021457672,0.13860000021457672,0.02417367840670964,2.488639000001058,796.9142174560897,2009.1302916967365,3336.91943359375
6,0.0019515459511322017,,5.294861506652832,0.05245,24.969429500000842,5.36606389465332,0.04959999979138374,0.16140000088214873,0.035527185326161496,2.406046600000991,800.979453695541,2078.097739253238,3336.91943359375
7,0.0019304787210293684,,5.230637006378174,0.0651,25.25385230000029,5.287931309509277,0.05699999960660934,0.1882000020980835,0.03882046089791496,2.3580656000012823,791.9583817317159,2120.382062312974,3336.91943359375
8,0.001905778781941359,,5.162523314666748,0.0747,25.38207870000042,5.22124817199707,0.07219999926090241,0.20900000133514404,0.050617614877969744,2.364772200000516,787.9575284745953,2114.368563703053,3336.91943359375
9,0.0018775436132434243,,5.11969571685791,0.07865,25.51626419999957,5.183230916595459,0.08219999984502792,0.2231999981403351,0.05976209286921906,2.425782199999958,783.8137998273406,2061.190819192295,3336.91943359375
10,0.0018458846462469944,,5.070430094146729,0.08355,24.945552099999986,5.124404422760009,0.09259999974966049,0.23600000224113465,0.07129657239071995,2.4200345000008383,801.7461357369601,2066.0862479432703,3336.91943359375
11,0.0018109268244311974,,5.012263655853271,0.0926,25.259160100000372,5.119120796966553,0.09120000001192093,0.23839999947547913,0.07071715878265472,2.3703832999999577,791.7919646108782,2109.3634940813536,3336.91943359375
12,0.0017728081103480307,,4.9748555862426755,0.0977,25.108705399999963,5.104062408447265,0.09559999941587448,0.24739999785423278,0.07580143999594548,2.4279127000008884,796.5364873013338,2059.3821186396735,3336.91943359375
13,0.0017316789411471968,,4.925239723205566,0.1045,25.013584999998784,5.122049300384521,0.08919999983310699,0.2425999985218048,0.06800416444459356,2.404718399999183,799.5655160985909,2079.2455366090676,3336.91943359375
14,0.0016877016348694012,,4.891176280212402,0.11285,25.27667990000009,5.168474984741211,0.08239999952316285,0.2254000024318695,0.0653297935326322,2.4751715999991575,791.2431568989379,2020.0619625733027,3336.91943359375
15,0.001641049749851202,,4.8468676345825195,0.11465,25.063770799999475,5.084389070892334,0.091799999833107,0.24980000071525574,0.07417426205109413,2.3937695999993593,797.9645265508261,2088.7557432433505,3336.91943359375
