class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
48,949,Urola nivalis,Snowy Urola Moth,Crambidae,Urola,0.7272727272727273,0.8,0.7619047619047619,10,0.8
49,987,Bulia deducta,Deduced Graphic,Erebidae,Bulia,0.7,0.7,0.7,10,0.7
50,997,Catocala grynea,Woody Underwing,Erebidae,Catocala,0.875,0.7,0.7777777777777778,10,0.7
51,998,Catocala ilia,Ilia Underwing,Erebidae,Catocala,0.8333333333333334,0.5,0.625,10,0.5
52,1047,Hypena bijugalis,Dimorphic Bomolocha Moth,Erebidae,Hypena,1.0,0.8,0.8888888888888888,10,0.8
53,1076,Melipotis acontioides,Royal Poinciana Moth,Erebidae,Melipotis,0.8,0.8,0.8,10,0.8
54,1103,Pantydia sparsa,Pantydia sparsa,Erebidae,Pantydia,0.75,0.9,0.8181818181818182,10,0.9
55,1164,Chiasmia clathrata,Latticed Heath,Geometridae,Chiasmia,0.8181818181818182,0.9,0.8571428571428571,10,0.9
56,1167,Chlorochlamys chloroleucaria,Blackberry Looper,Geometridae,Chlorochlamys,0.9,0.9,0.9,10,0.9
57,1176,Colotois pennaria,Feathered Thorn,Geometridae,Colotois,0.9090909090909091,1.0,0.9523809523809523,10,1.0
58,1233,Idaea aversata,Riband Wave,Geometridae,Idaea,1.0,0.7,0.8235294117647058,10,0.7
59,1242,Ilexia intractata,Black-dotted Ruddy Moth,Geometridae,Ilexia,1.0,1.0,1.0,10,1.0
60,1297,Probole amicaria,Alien Probole Moth,Geometridae,Probole,0.7692307692307693,1.0,0.8695652173913043,10,1.0
61,1314,Tetracis cachexiata,White Slant-line,Geometridae,Tetracis,1.0,1.0,1.0,10,1.0
62,1315,Tetracis crocallata,Yellow Slant-line,Geometridae,Tetracis,0.9,0.9,0.9,10,0.9
63,1335,Ancyloxypha numitor,Least Skipper,Hesperiidae,Ancyloxypha,0.7,0.7,0.7,10,0.7
64,1346,Burnsius philetas,Desert Checkered-Skipper,Hesperiidae,Burnsius,0.8181818181818182,0.9,0.8571428571428571,10,0.9
65,1362,Erynnis juvenalis,Juvenal's Duskywing,Hesperiidae,Erynnis,0.7,0.7,0.7,10,0.7
66,1374,Iambrix salsala,Chestnut Bob,Hesperiidae,Iambrix,0.8181818181818182,0.9,0.8571428571428571,10,0.9
67,1376,Lerodea eufala,Eufala Skipper,Hesperiidae,Lerodea,0.5,0.3,0.375,10,0.3
68,1378,Lon melane,Umber Skipper,Hesperiidae,Lon,0.5,0.7,0.5833333333333334,10,0.7
69,1393,Polites mystic,Long Dash Skipper,Hesperiidae,Polites,0.6153846153846154,0.8,0.6956521739130435,10,0.8
70,1405,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,0.5555555555555556,0.5,0.5263157894736842,10,0.5
71,1408,Urbanus dorantes,Dorantes Longtail,Hesperiidae,Urbanus,0.6666666666666666,0.4,0.5,10,0.4
72,1430,Euclea incisa,Green Oak-Slug Moth,Limacodidae,Euclea,0.6428571428571429,0.9,0.75,10,0.9
73,1439,Anthene emolus,Common Ciliate Blue,Lycaenidae,Anthene,0.8181818181818182,0.9,0.8571428571428571,10,0.9
74,1455,Catochrysops strabo,Forget-me-not,Lycaenidae,Catochrysops,0.8333333333333334,1.0,0.9090909090909091,10,1.0
75,1458,Celastrina ladon,Spring Azure,Lycaenidae,Celastrina,0.875,0.7,0.7777777777777778,10,0.7
76,1469,Cyaniris semiargus,Mazarine Blue,Lycaenidae,Cyaniris,0.625,1.0,0.7692307692307693,10,1.0
77,1485,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,0.75,0.6,0.6666666666666666,10,0.6
78,1493,Leptotes marina,Marine Blue,Lycaenidae,Leptotes,0.8888888888888888,0.8,0.8421052631578947,10,0.8
79,1534,Satyrium titus,Coral Hairstreak,Lycaenidae,Satyrium,1.0,0.7,0.8235294117647058,10,0.7
80,1583,Autographa californica,Alfalfa Looper,Noctuidae,Autographa,0.46153846153846156,0.6,0.5217391304347826,10,0.6
81,1649,Lithacodia musta,Small Mossy Lithacodia,Noctuidae,Lithacodia,0.9090909090909091,1.0,0.9523809523809523,10,1.0
82,1653,Maliattha synochitis,Black-dotted Maliattha,Noctuidae,Maliattha,1.0,0.7,0.8235294117647058,10,0.7
83,1691,Ponometia semiflava,Half-yellow Moth,Noctuidae,Ponometia,0.8181818181818182,0.9,0.8571428571428571,10,0.9
84,1729,Pseudoips prasinana,Green Silver-lines,Nolidae,Pseudoips,0.7692307692307693,1.0,0.8695652173913043,10,1.0
85,1748,Peridea angulosa,Angulose Prominent Moth,Notodontidae,Peridea,0.9,0.9,0.9,10,0.9
86,1802,Brenthis ino,Lesser Marbled Fritillary,Nymphalidae,Brenthis,0.8181818181818182,0.9,0.8571428571428571,10,0.9
87,1838,Doxocopa laure,Silver Emperor,Nymphalidae,Doxocopa,0.75,0.6,0.6666666666666666,10,0.6
