epoch,head_lr,backbone_lr,train_loss,train_top1_accuracy,train_seconds,val_loss,val_top1_accuracy,val_top5_accuracy,val_macro_f1,val_seconds,train_images_per_second,val_images_per_second,peak_gpu_memory_mb
1,0.001,0.0001,5.588224165344238,0.07705,97.51916449999953,4.311350968170166,0.24699999930858613,0.49239999713897703,0.20216462710592348,37.21581000000151,205.08789326225303,134.3515027618584,9703.7216796875
2,0.0009972883382072953,9.97534852915723e-05,4.030291174316406,0.32255,70.20938070000011,3.3891938194274904,0.43499999799728395,0.6924000008583069,0.4036502961309235,20.54384310000023,284.8622192732141,243.3819210778505,6332.458984375
3,0.0009891830623632338,9.901664203302126e-05,3.289127781677246,0.4675,69.95468419999997,2.9644698112487795,0.5148000002861023,0.7610000018119812,0.49592436174860915,21.030942100000175,285.89936797970716,237.74493678055242,6332.458984375
4,0.0009757729755661011,9.779754323328192e-05,2.8888444591522218,0.55615,73.94614430000001,2.759283346557617,0.5623999975681305,0.791799997997284,0.5507878695462566,15.927702200000567,270.4671107510334,313.91847594939475,6332.458984375
5,0.0009572050015330874,9.610954559391703e-05,2.628241806411743,0.61725,75.2213881000007,2.642094539642334,0.5885999976158142,0.8115999984741211,0.5774796495909562,16.250924899999518,265.88182570376966,307.6747957896321,6332.458984375
6,0.0009336825748732973,9.397114317029975e-05,2.4390427017211915,0.6622,75.07180490000064,2.5903470615386963,0.6031999954223632,0.820200001335144,0.5955903089105996,16.133267200000773,266.41160455168205,309.91862578212056,6332.458984375
7,0.0009054634122155991,9.140576474687265e-05,2.2802934494018556,0.699,74.81080620000102,2.499644044494629,0.6261999980926514,0.8359999975204467,0.6190206023563133,15.916134999999485,267.34105693944156,314.1466191383877,6332.458984375
8,0.0008728566886113102,8.844151714648274e-05,2.158539637374878,0.7346,75.40277079999942,2.458224112319946,0.6348000037193299,0.8456000046730041,0.6288356385067037,15.899029299998801,265.2422422651895,314.48460818927964,6332.458984375
9,0.0008362196501476349,8.511087728614862e-05,2.061977225112915,0.75915,75.30684049999945,2.4282774688720705,0.6362000030517578,0.8441999954223632,0.6290376363574887,15.930345900000248,265.5801234948921,313.8663800137524,6332.458984375
10,0.0007959536998847742,8.14503363531613e-05,1.9682531215667725,0.78815,75.17265539999971,2.3917394847869873,0.6499999979972839,0.8533999988555908,0.6428707635406937,15.895379699999467,266.05419076362807,314.55681426724067,6332.458984375
11,0.0007525,7.75e-05,1.8785736793518066,0.8161,75.32585420000032,2.392943688201904,0.6483999994277954,0.8502000039100647,0.6440027208315919,15.721386400000483,265.5130859438686,318.0381089036681,6332.458984375
12,0.0007063346383225212,7.330314893841101e-05,1.820100332260132,0.8341,75.2304452999997,2.374455335998535,0.6516000037193298,0.8583999967575073,0.6468580327636713,16.096182499999486,265.8498154602852,310.6326608809362,6332.458984375
13,0.000657963412215599,6.890576474687264e-05,1.7571324474334717,0.8515,75.33808949999911,2.3636764041900635,0.656399998664856,0.8577999952316284,0.6509056822388768,15.880893799998375,265.46996522921165,314.8437400922933,6332.458984375
14,0.0006079162869547909,6.435602608679918e-05,1.6990175243377685,0.86995,75.07701409999936,2.3604378540039064,0.6510000037193299,0.8592000009536743,0.6460196580428058,16.031295099999625,266.3931196485899,311.8899607805309,6332.458984375
15,0.0005567415893174886,5.970378084704442e-05,1.6497336683273316,0.8869,70.06771570000092,2.340888555908203,0.6598,0.8595999973297119,0.6550642280819681,15.305059500000425,285.4381622148378,326.689353935531,6332.458984375
